parcel_id,parcel_name,yeo7_network,yeo7_network_name
1,V1,1,Network_1
2,MST,1,Network_1
3,V6,1,Network_1
4,V2,1,Network_1
5,V3,1,Network_1
6,V4,1,Network_1
7,V8,1,Network_1
8,4,2,Network_2
9,3b,2,Network_2
10,FEF,3,Network_3
11,PEF,3,Network_3
12,55b,2,Network_2
13,V3A,1,Network_1
14,RSC,7,Network_7
15,POS2,7,Network_7
16,V7,1,Network_1
17,IPS1,3,Network_3
18,FFC,3,Network_3
19,V3B,1,Network_1
20,LO1,1,Network_1
21,LO2,1,Network_1
22,PIT,1,Network_1
23,MT,1,Network_1
24,A1,2,Network_2
25,PSL,7,Network_7
26,SFL,7,Network_7
27,PCV,7,Network_7
28,STV,4,Network_4
29,7Pm,6,Network_6
30,7m,7,Network_7
31,POS1,7,Network_7
32,23d,7,Network_7
33,v23ab,7,Network_7
34,d23ab,7,Network_7
35,31pv,7,Network_7
36,5m,2,Network_2
37,5mv,4,Network_4
38,23c,4,Network_4
39,5L,2,Network_2
40,24dd,2,Network_2
41,24dv,2,Network_2
42,7AL,3,Network_3
43,SCEF,4,Network_4
44,6ma,4,Network_4
45,7Am,3,Network_3
46,7Pl,3,Network_3
47,7PC,3,Network_3
48,LIPv,3,Network_3
49,VIP,3,Network_3
50,MIP,3,Network_3
51,1,2,Network_2
52,2,3,Network_3
53,3a,2,Network_2
54,6d,2,Network_2
55,6mp,2,Network_2
56,6v,2,Network_2
57,p24pr,4,Network_4
58,33pr,4,Network_4
59,a24pr,4,Network_4
60,p32pr,4,Network_4
61,a24,7,Network_7
62,d32,7,Network_7
63,8BM,6,Network_6
64,p32,7,Network_7
65,10r,7,Network_7
66,47m,7,Network_7
67,8Av,7,Network_7
68,8Ad,7,Network_7
69,9m,7,Network_7
70,8BL,7,Network_7
71,9p,7,Network_7
72,10d,7,Network_7
73,8C,6,Network_6
74,44,7,Network_7
75,45,7,Network_7
76,47l,7,Network_7
77,a47r,7,Network_7
78,6r,4,Network_4
79,IFJa,6,Network_6
80,IFJp,3,Network_3
81,IFSp,6,Network_6
82,IFSa,6,Network_6
83,"p9-
46v",6,Network_6
84,46,6,Network_6
85,"a9-
46v",6,Network_6
86,9-46d,6,Network_6
87,9a,7,Network_7
88,10v,5,Network_5
89,a10p,7,Network_7
90,10pp,5,Network_5
91,11l,6,Network_6
92,13l,5,Network_5
93,OFC,5,Network_5
94,47s,7,Network_7
95,LIPd,6,Network_6
96,6a,3,Network_3
97,i6-8,6,Network_6
98,s6-8,7,Network_7
99,43,4,Network_4
100,OP4,2,Network_2
101,OP1,2,Network_2
102,OP2-3,2,Network_2
103,52,2,Network_2
104,RI,2,Network_2
105,PFcm,2,Network_2
106,PoI2,4,Network_4
107,TA2,2,Network_2
108,FOP4,4,Network_4
109,MI,4,Network_4
110,Pir,5,Network_5
111,AVI,6,Network_6
112,AAIC,4,Network_4
113,FOP1,4,Network_4
114,FOP3,4,Network_4
115,FOP2,2,Network_2
116,PFt,3,Network_3
117,AIP,3,Network_3
118,EC,5,Network_5
119,PreS,1,Network_1
120,H,1,Network_1
121,ProS,1,Network_1
122,PeEc,5,Network_5
123,STGa,7,Network_7
124,PBelt,2,Network_2
125,A5,7,Network_7
126,PHA1,1,Network_1
127,PHA3,1,Network_1
128,STSda,7,Network_7
129,STSdp,7,Network_7
130,STSvp,7,Network_7
131,TGd,5,Network_5
132,TE1a,7,Network_7
